school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor
480041688,밀양동명고등학교,경남,밀양시,경남,일반고,50460,경상남도 밀양시 하남읍 동명길 14(하남읍. 동명중고등학교),226,20,0,
480041702,밀성고등학교,경남,밀양시,경남,일반고,50422,경상남도 밀양시 석정로 127. 밀성고등학교 (내이동),429,35,0,
480041280,밀양고등학교,경남,밀양시,경남,일반고,50423,경상남도 밀양시 약산로 15(내이동. 밀양고등학교),483,51,1,483.0
480041768,세종고등학교,경남,밀양시,경남,일반고,50444,경상남도 밀양시 가곡8길 28.세종고등학교(가곡동. 세종중고등학교),410,35,0,
480041310,삼천포중앙고등학교,경남,사천시,경남,일반고,52550,경상남도 사천시 삼상로 145(벌리동. 삼천포중앙고등학교),340,36,0,
480041798,용남고등학교,경남,사천시,경남,일반고,52537,경상남도 사천시 용현면 선진길 24. 용남고등학교 (용현면),459,39,0,
480041160,곤양고등학교,경남,사천시,경남,일반고,52504,경상남도 사천시 곤양면 솥골길 120. 곤양고등학교 (곤양면),38,11,0,
480041714,사천고등학교,경남,사천시,경남,일반고,52517,경상남도 사천시 사천읍 동문로 95(사천읍.사천고등학교),597,48,0,
480041760,삼천포여자고등학교,경남,사천시,경남,일반고,52560,경상남도 사천시 삼상로 19. 삼천포여자고등학교 (동금동),369,39,1,369.0
480041732,삼천포고등학교,경남,사천시,경남,일반고,52551,경상남도 사천시 벌리6길 77(벌리동. 삼천포중고등학교),418,39,1,418.0
480041330,신등고등학교,경남,산청군,경남,일반고,52253,경상남도 산청군 신등면 신등가회로 125(신등면. 신등중고등학교),12,13,0,
480041002,산청고등학교,경남,산청군,경남,일반고,52226,경상남도 산청군 산청읍 웅석봉로86번길 9-12(산청읍),323,43,1,323.0
480041216,단성고등학교,경남,산청군,경남,일반고,52248,경상남도 산청군 단성면 강누방목로 2단성고등학교,95,18,0,
480041240,덕산고등학교,경남,산청군,경남,일반고,52239,경상남도 산청군 시천면 남명로159번길 1. 덕산고등학교 (시천면),47,13,0,
480041350,양산고등학교,경남,양산시,경남,일반고,50617,경상남도 양산시 호국학도병길 2(북부동),907,74,1,907.0
480041789,양산여자고등학교,경남,양산시,경남,일반고,50593,경상남도 양산시 교동1길 21(교동),902,62,0,
480041788,효암고등학교,경남,양산시,경남,일반고,50530,경상남도 양산시 서창로 144(삼호동. 효암고등학교.개운중학교),808,57,0,
480041445,증산고등학교,경남,양산시,경남,일반고,50658,경상남도 양산시 물금읍 새실로 99증산고등학교,1151,83,1,1151.0
480041938,서창고등학교,경남,양산시,경남,일반고,50527,경상남도 양산시 삼호동부로 125(삼호동. 서창고등학교),929,65,0,
480041355,양산남부고등학교,경남,양산시,경남,일반고,50630,경상남도 양산시 양주로 7(남부동),991,69,1,991.0
480041786,양산제일고등학교,경남,양산시,경남,일반고,50593,경상남도 양산시 회현1길 36. 양산제일고등학교 (교동),684,52,1,684.0
480041415,웅상고등학교,경남,양산시,경남,일반고,50541,경상남도 양산시 배움터길 36(평산동),813,62,1,813.0
480041939,범어고등학교,경남,양산시,경남,일반고,50607,경상남도 양산시 물금읍 신주로 88(물금읍.범어고등학교),940,66,1,940.0
480041936,물금고등학교,경남,양산시,경남,일반고,50605,경상남도 양산시 물금읍 신주1길 20(물금읍),996,75,1,996.0
480041708,보광고등학교,경남,양산시,경남,일반고,50503,경상남도 양산시 하북면 신평로 46. 보광고등학교 (하북면),309,31,1,309.0
480041410,의령고등학교,경남,의령군,경남,일반고,52146,경상남도 의령군 의령읍 백산로 3길 4의령고등학교,163,27,1,163.0
480041828,의령여자고등학교,경남,의령군,경남,일반고,52137,경상남도 의령군 가례면 의병로 67(가례면),189,24,0,
480041420,진서고등학교,경남,진주시,경남,일반고,52645,경상남도 진주시 수곡면 옥수로 625(수곡면. 진서중고등학교),15,11,0,
480041270,명신고등학교,경남,진주시,경남,일반고,52732,경상남도 진주시 대신로 614(초전동. 명신고등학교),657,55,0,
480041325,진주중앙고등학교,경남,진주시,경남,일반고,52762,경상남도 진주시 하대로 59(하대동.진주중앙고등학교),583,56,1,583.0
480041050,경상국립대학교사범대학부설고등학교,경남,진주시,경남,일반고,52828,경상남도 진주시 가좌길29번길63 (가좌동),468,48,0,
480041638,진주외국어고등학교,경남,진주시,경남,일반고,52616,경상남도 진주시 일반성면 동부로 2014-6(일반성면. 진주외국어고등학교),162,23,0,
480041450,진주여자고등학교,경남,진주시,경남,일반고,52746,경상남도 진주시 창렬로 185(상봉동),658,58,1,658.0
480041858,진주제일여자고등학교,경남,진주시,경남,일반고,52761,경상남도 진주시 하대로34번길 11-9(하대동. 진주제일여자고등학교),715,59,0,
480041846,진주동명고등학교,경남,진주시,경남,일반고,52733,경상남도 진주시 대신로 454-25. 진주동명고등학교 (초전동),724,60,1,724.0
480041430,진양고등학교,경남,진주시,경남,일반고,52853,경상남도 진주시 충의로100번길 12(충무공동),672,62,0,
480041738,삼현여자고등학교,경남,진주시,경남,일반고,52805,경상남도 진주시 돗골로 95(상평동. 삼현여자고등학교),723,58,1,723.0
480041440,진주고등학교,경남,진주시,경남,일반고,52747,경상남도 진주시 의곡길 29(상봉동. 진주고등학교),589,55,1,589.0
480041672,대아고등학교,경남,진주시,경남,일반고,52669,경상남도 진주시 서장대로185번길 14(이현동.대아중고등학교),725,59,1,725.0
480041636,경해여자고등학교,경남,진주시,경남,일반고,52651,경상남도 진주시 남강로 39(평거동),692,62,1,692.0
480041862,창녕여자고등학교,경남,창녕군,경남,일반고,50330,경상남도 창녕군 창녕읍 신당길 30(창녕읍.창녕여자고등학교),233,30,1,233.0
480041864,창녕고등학교,경남,창녕군,경남,일반고,50318,경상남도 창녕군 대지면 우포2로 1180-20(대지면. 창녕고등학교),133,18,0,
480041937,창녕옥야고등학교,경남,창녕군,경남,일반고,50300,경상남도 창녕군 이방면 이방로 943-15. 창녕옥야고등학교,274,29,0,
480041648,남지고등학교,경남,창녕군,경남,일반고,50355,경상남도 창녕군 남지읍 남고길 11(남지읍),364,34,1,364.0
480041860,창녕대성고등학교,경남,창녕군,경남,일반고,50308,경상남도 창녕군 대합면 신안길 17창녕대성고등학교(대합면),110,19,1,110.0
480041710,영산고등학교,경남,창녕군,경남,일반고,50343,경상남도 창녕군 영산면 영산새싹길 13(영산면. 영산고등학교),193,26,0,
480041932,창원토월고등학교,경남,창원시,경남,일반고,51451,경상남도 창원시 성산구 비음로91번길 8(토월동. 창원토월고등학교),510,47,0,
480041690,마산중앙고등학교,경남,창원시,경남,일반고,51759,경상남도 창원시 마산합포구 고운로 103(신월동. 마산중앙고등학교),397,38,0,
480041255,마산구암고등학교,경남,창원시,경남,일반고,51351,경상남도 창원시 마산회원구 팔용로 220(구암동. 마산구암고등학교),477,47,0,
480041497,창원명곡고등학교,경남,창원시,경남,일반고,51171,경상남도 창원시 의창구 서곡길25번길 16. 창원명곡고등학교 (명곡동),502,48,0,
480041560,합포고등학교,경남,창원시,경남,일반고,51281,경상남도 창원시 마산합포구 무학로 458(교방동. 합포고등학교),516,56,1,516.0
480041684,마산제일여자고등학교,경남,창원시,경남,일반고,51759,경상남도 창원시 마산합포구 고운로 65(문화동) 마산제일여자고등학교,545,48,0,
480041496,웅천고등학교,경남,창원시,경남,일반고,51621,경상남도 창원시 진해구 웅천중로 71(성내동. 웅천고등학교),646,50,1,646.0
480041485,창원용호고등학교,경남,창원시,경남,일반고,51433,경상남도 창원시 성산구 용호로 29(용호동. 창원용호고등학교),573,53,1,573.0
