score,label,count,ratio(%)
1.0,1.0 — 5km 미만,90,61.64
0.7,0.7 — 5km 이상 10km 미만,25,17.12
0.4,0.4 — 10km 이상 15km 미만,19,13.01
0.1,0.1 — 15km 이상,12,8.22
,NaN — 거리 산출 불가,0,0.0
